"ISIN 
","DESCRIPTOR 
","WEIGHTED AVERAGE PRICE 
","LAST TRADE PRICE 
","WEIGHTED  AVERAGE YIELD 
(YTM) (%)","LAST  TRADE YIELD  
(Annualized) (%)","VALUE 
 (₹ Crores)","NO. OF TRADES 
"
"INE916DA7SF5","KOTAK MAHINDRA PRIME LIMITED 8.255 NCD 22JU26 FVRS1LAC","100.2173","100.2173","6.4500","6.4500","285.00","3"
"INE556F08LC0","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR V 7.22 BD 10AP29 FVRS1LAC","99.3292","99.3292","7.4700","7.4700","100.00","1"
"INE115A07PP1","LIC HOUSING FINANCE LTD TR 417 OPT III 7.13 LOA 28NV31 FVRS10LAC","97.4926","97.4942","7.6800","7.6800","75.00","2"
"INE403D08298","BHARTI TELECOM LIMITED SR XXVIII 7.40 NCD 01FB29 FVRS1LAC","98.8804","98.7773","7.8466","7.8800","70.00","3"
"INE498L07202","L","100.0104","100.0500","7.7919","7.7874","65.13","10"
"INE261F08EO7","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 25G 7.48 BD 15SP28 FVRS1LAC","99.8968","99.8968","7.4900","7.4900","50.00","1"
"INE261F08EU4","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 26F 7.44 BD 17JL29 FVRS1LAC","99.5852","99.5989","7.5950","7.5900","50.00","2"
"INE134E08NP7","POWER FINANCE CORPORATION LIMITED SR 248B 7.45 NCD 15JL28 FVRS1LAC","100.0052","100.0052","7.4500","7.4500","50.00","1"
"INE020B08FW6","REC LIMITED SR 248A 6.52 BD 31JN28 FVRS1LAC","98.6780","98.6780","7.3200","7.3200","50.00","1"
"INE403D08264","BHARTI TELECOM LIMITED SR XXI 8.75 NCD 05NV29 FVRS1LAC","102.5501","102.4893","7.8610","7.8800","30.00","2"
"INE414G07IS4","MUTHOOT FINANCE LIMITED 8.85 NCD 20DC28 FVRS1LAC","100.9304","100.9304","8.4000","8.4000","27.00","1"
"INE261F08EM1","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 25E 7.53 BD 24MR28 FVRS1LAC","100.1482","100.1482","7.4280","7.4200","25.00","1"
"INE752E08783","POWER GRID CORPORATION OF INDIA LIMITED SR LXXXI 6.94 BD 15AP35 FVRS1LAC","96.2736","96.2736","7.5040","7.5200","25.00","1"
"INE202B07JS2","PIRAMAL FINANCE LIMITED 9.10 NCD 16AP27 FVRS1LAC","100.6759","100.6759","8.3293","8.3500","25.00","1"
"INE860H07II7","ADITYA BIRLA CAPITAL LIMITED SR L1 8.12 NCD 06MR28 FVRS1LAC","100.5622","100.5622","7.7500","7.7500","25.00","1"
"INE202B07JT0","PIRAMAL FINANCE LIMITED 9 NCD 28JU27 FVRS1LAC","100.5453","100.5453","8.4500","8.4500","20.00","1"
"INE403D08215","BHARTI TELECOM LIMITED SR XXIII 8.9 NCD 05NV34 FVRS1LAC","105.1377","105.3519","8.0251","7.9900","20.00","2"
"INE658F08524","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR VII STRPP B 9.30 BD 21JN31 FVRS1LAC","100.3409","100.3409","9.5186","9.5200","20.00","1"
"INE660A08CI7","SUNDARAM FINANCE LIMITED SR Y3 8.23 NCD 05JL34 FVRS1AC","101.5696","101.7600","7.9442","7.9200","20.00","2"
"INE348L07308","MAS FINANCIAL SERVICES LIMITED SR A 8.35 NCD 16NV26 FVRS1LAC","99.9578","99.9578","8.7632","8.7600","20.00","1"
"INE556F08KN9","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR VII 7.75 BD 10JU27 FVRS1LAC","100.2972","100.2972","7.4750","7.4700","15.00","1"
"INE556F08KI9","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR II 7.44 BD 04SP26 FVRS1LAC","100.0922","100.0910","6.8300","6.8500","15.00","2"
"INE02KN07022","GODREJ FINANCE LIMITED SR A 8.75 NCD 18JN27 FVRS1LAC","100.6340","100.6340","7.6500","7.6500","15.00","1"
"INE692A08219","UNION BANK OF INDIA SR XXXVI-A 7.85 NCD 29NV37 FVRS1CR","100.2565","100.2611","7.7933","7.8000","15.00","2"
"INE530B07617","IIFL FINANCE LIMITED SR IV TR I 8.7 NCD 06MR28 FVRS1000","99.3422","99.1772","9.0595","9.1600","13.43","3"
"INE2T2Q07048","HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY STRPP K 8.70 BD 15MR40 FVRS1LAC","100.0250","100.0500","8.9777","8.9743","11.94","2"
"INE2T2Q07162","HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY STRPP L 8.70 BD 15MR41 FVRS1LAC","100.0250","100.0500","8.9778","8.9745","11.94","2"
"INE2T2Q07022","HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY STRPP M 8.70 BD 14MR42 FVRS1LAC","100.0250","100.0500","8.9781","8.9749","11.94","2"
"INE2T2Q07030","HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY STRPP P 8.70 BD 15MR45 FVRS1LAC","100.0250","100.0500","8.9782","8.9753","11.94","2"
"INE2T2Q07154","HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY STRPP N 8.70 BD 13MR43 FVRS1LAC","100.0250","100.0500","8.9784","8.9753","11.58","2"
"INE2T2Q07071","HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY STRPP Q 8.70 BD 15MR46 FVRS1LAC","100.0304","101.1700","8.9777","8.8500","10.65","3"
